URL;NAME;ADDRESS;CITY;CATEGORY;PHONE NUMBER;RATINGS;AVG RATINGS;SPECIAL DIETS;MEALS;CERTIFICATIONS
https://www.tripadvisor.it/Restaurant_Review-g187874-d1651553-Reviews-Ristorante_Pizzeria_Da_Paolo-Bari_Province_of_Bari_Puglia.html; Da Paolo;Via Quintino Sella, 13/A;70122, Bari, ;$$ - $$$, Italiana, Pizza, Pesce;+39 080 521 1662;411;4;Per vegetariani;Pranzo, Cena, Dopo mezzanotte;Certificato di EccellenzaVincitore 2017
https://www.tripadvisor.it/Restaurant_Review-g187874-d2442311-Reviews-Frulez-Bari_Province_of_Bari_Puglia.html; Frulez;Piazza Umberto I, 14-15;70121, Bari, ;$$ - $$$, Fusion, Italiana, Mediterranea;+39 080 523 9827;762;4;Per vegetariani, Opzioni vegane, Opzioni senza glutine;-;Certificato di EccellenzaVincitore 2015 - 2018
https://www.tripadvisor.it/Restaurant_Review-g187874-d11971324-Reviews-Sandrino-Bari_Province_of_Bari_Puglia.html;Sandrino;Piazza Mercantile 3;70122, Bari,;$, Pasticcerie e gelaterie, Italiana;+39 080 573 9367;78;3.5;-;-;-
https://www.tripadvisor.it/Restaurant_Review-g187874-d1987045-Reviews-Pizzeria_Di_Cosimo-Bari_Province_of_Bari_Puglia.html;Pizzeria Di Cosimo;Via Giovanni Modugno 31;70124, Bari,;$, Italiana, Pizza, Per vegetariani;+39 080 504 1513;447;3.5;Per vegetariani;-;-
https://www.tripadvisor.it/Restaurant_Review-g187874-d4795095-Reviews-Martinucci-Bari_Province_of_Bari_Puglia.html;Martinucci Laboratory [BARI];Piazza Mercantile 80;70122, Bari,;$$ - $$$, Italiana, Bar, Caffè;+39 080 521 1142;1160;4;Per vegetariani, Opzioni senza glutine;Colazione, Brunch, Dopo mezzanotte, Bevande;Certificato di EccellenzaVincitore 2016
https://www.tripadvisor.it/Restaurant_Review-g187874-d6580952-Reviews-Bar_Telebari-Bari_Province_of_Bari_Puglia.html;Bar Telebari;Via Giuseppe Fanelli 221;70125, Bari,;$;+39 080 502 0626;93;4.5;-;-;-
https://www.tripadvisor.it/Restaurant_Review-g187874-d12949400-Reviews-Gyrosteria_Yannis_Centro_Citta-Bari_Province_of_Bari_Puglia.html;Gyrosteria Yannis - Centro Città;Via Domenico Nicolai 11/13;70122, Bari,;$, Mediterranea, Greca;+39 080 521 4797;37;3.5;-;Pranzo, Cena;-
https://www.tripadvisor.it/Restaurant_Review-g187874-d799949-Reviews-Osteria_Al_Gambero-Bari_Province_of_Bari_Puglia.html;Osteria Al Gambero;Corso Antonio de Tullio 8;70122, Bari,;$$ - $$$, Italiana, Pesce, Mediterranea;+39 080 521 6018;615;4;-;Pranzo, Cena, Dopo mezzanotte;-
https://www.tripadvisor.it/Restaurant_Review-g187874-d4641634-Reviews-Eataly_Bari-Bari_Province_of_Bari_Puglia.html;EATALY BARI;Lungomare Generale G. Amm. P. Starita 4;70132, Bari,;$$ - $$$, Gastronomie e prodotti tipici, Mediterranea, Per vegetariani;+39 080 618 0401;890;3.5;Per vegetariani, Opzioni senza glutine;-;-
https://www.tripadvisor.it/Restaurant_Review-g187874-d1925456-Reviews-Ai_2_Ghiottoni-Bari_Province_of_Bari_Puglia.html;Ai 2 Ghiottoni;Via Nicolo' Putignani 11/B;70121, Bari,;$$$$, Mediterranea, Italiana, Pesce;+39 080 523 2240;1277;4;Per vegetariani, Opzioni vegane, Opzioni senza glutine;Pranzo, Cena, Dopo mezzanotte;-
